Subject,Session,Age,Group,Handedness,Sex,400H_same,400N_same,400H_self,400N_self,400H_time,400N_time,600H_same,600N_same,600H_self,600N_self,600H_time,600N_time,800H_same,800N_same,800H_self,800N_self,800H_time,800N_time,1000H_same,1000N_same,1000H_self,1000N_self,1000H_time,1000N_time,1200H_same,1200N_same,1200H_self,1200N_self,1200H_time,1200N_time,1400H_same,1400N_same,1400H_self,1400N_self,1400H_time,1400N_time,1600H_same,1600N_same,1600H_self,1600N_self,1600H_time,1600N_time
2,1,20,A,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,1,1,0.5,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,20,A,right,female,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.5,0.25,0.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,20,A,right,female,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.5,0,0.25,0.25,0,0.25,0.5,0.75,0.5,0.25,0.75,0,1,0.75,0.75,0.5,0.5,1,1,1,0.75,0.25,0.75,0.5,1,1,1,0.75,1,1
3,2,21,A,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0,1,0.75,0.25,0.25,1,0.5,0.25,0.75,0.75,1,1,1,1,1,0.75,0.75,0.5,0.75,1,1,1,1,1,1
4,1,20,A,right,female,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.5,0.5,0.75,0.75,0.5,1,0.5,0.5,1,1,1,0.75,1,1,0.75,1,1,1,0.75,1,1,0.75,0.75,1,1,1
4,2,20,A,right,female,0.25,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0.25,0.5,0.75,0.25,0,0.75,0.5,0.5,1,0.5,0.75,0.5,0.75,0.75,0.75,0.75,1,0.75,1,1,1,0.5,1,1,1,0.75,0.75,0.75,1,1
5,1,20,A,right,female,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.5,0.25,0.75,1,0.5,0.5,1,0.5,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,2,20,A,right,female,0,0.25,0,0,0,0,0,0.25,0.5,0.5,0,0.25,1,0.75,0.75,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,21,A,right,female,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0.75,0,0.25,0.75,0.75,0.75,0.25,0.75,0.5,0.75,0.75,0.75,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,0.75
7,2,21,A,right,female,0,0,0.25,0,0.25,0,0.5,0,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1,0.75,0.75,0.75,1,0.75,1,0.25,1,1,1,0.75,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1
