Session,stimuli_type,att_type,stimuli_time,Condition,y,subj_id
1,1,1,400,1,0.0149839780212813,2
2,1,1,400,2,0.0935848692819017,2
1,2,1,400,3,0.0128461493549732,2
2,2,1,400,4,0.0154648482401308,2
1,1,2,400,5,0,2
2,1,2,400,6,0.0720807906741757,2
1,2,2,400,7,0.00756412756934011,2
2,2,2,400,8,0.0125818054515938,2
1,1,3,400,9,0.0149152622328183,2
2,1,3,400,10,0.0933374913964527,2
1,2,3,400,11,0.0128312983044781,2
2,2,3,400,12,0.0153451621998912,2
1,1,1,500,1,0.0502260776288524,2
2,1,1,500,2,0.169856976461726,2
1,2,1,500,3,0.043554119291479,2
2,2,1,500,4,0.0760215293857144,2
1,1,2,500,5,0.0277677855632985,2
2,1,2,500,6,0.154618596043058,2
1,2,2,500,7,0.0316479180522456,2
2,2,2,500,8,0.0800684684889513,2
1,1,3,500,9,0.0501611963568435,2
2,1,3,500,10,0.169607175453275,2
1,2,3,500,11,0.0435367648607218,2
2,2,3,500,12,0.0758912466767932,2
1,1,1,600,1,0.119924963185972,2
2,1,1,600,2,0.273395500691349,2
1,2,1,600,3,0.109984100766006,2
2,2,1,600,4,0.169752018141734,2
1,1,2,600,5,0.0920767001293714,2
2,1,2,600,6,0.266173021383386,2
1,2,2,600,7,0.0933461366623646,2
2,2,2,600,8,0.182446254592796,2
1,1,3,600,9,0.119866637237267,2
2,1,3,600,10,0.27314893373717,2
1,2,3,600,11,0.109964275333808,2
2,2,3,600,12,0.169612260979238,2
1,1,1,700,1,0.221342645311099,2
2,1,1,700,2,0.396938344657666,2
1,2,1,700,3,0.2097439652029,2
2,2,1,700,4,0.290714674826596,2
1,1,2,700,5,0.190852050777441,2
2,1,2,700,6,0.39862499949987,2
1,2,2,700,7,0.190798059050911,2
2,2,2,700,8,0.312823831125376,2
1,1,3,700,9,0.221293197292949,2
2,1,3,700,10,0.396699874176044,2
1,2,3,700,11,0.209721848764589,2
2,2,3,700,12,0.290566840146114,2
1,1,1,800,1,0.347459526361159,2
2,1,1,800,2,0.530342774597809,2
1,2,1,800,3,0.335872157689906,2
2,2,1,800,4,0.429079754643595,2
1,1,2,800,5,0.317302027861221,2
2,1,2,800,6,0.540740319949565,2
1,2,2,800,7,0.317138885237611,2
2,2,2,800,8,0.460124497980616,2
1,1,3,800,9,0.347420654026442,2
2,1,3,800,10,0.530116119509921,2
1,2,3,800,11,0.335848089105879,2
2,2,3,800,12,0.428925528623359,2
1,1,1,900,1,0.487722122105512,2
2,1,1,900,2,0.661935374238244,2
1,2,1,900,3,0.477577791776914,2
2,2,1,900,4,0.572402418077377,2
1,1,2,900,5,0.460620072440717,2
2,1,2,900,6,0.679702662178518,2
1,2,2,900,7,0.461221968172734,2
2,2,2,900,8,0.61057092239068,2
1,1,3,900,9,0.487694741336218,2
2,1,3,900,10,0.661722955992722,2
1,2,3,900,11,0.477552261731937,2
2,2,3,900,12,0.572243791797464,2
1,1,1,1000,1,0.629485570930265,2
2,1,1,1000,2,0.780187261423112,2
1,2,1,1000,3,0.621741625005089,2
2,2,1,1000,4,0.707438471970608,2
1,1,2,1000,5,0.607486420677959,2
2,1,2,1000,6,0.802998842887471,2
1,2,2,1000,7,0.609205723006405,2
2,2,2,1000,8,0.74975501229518,2
1,1,3,1000,9,0.629469749691059,2
2,1,3,1000,10,0.779990251771638,2
1,2,3,1000,11,0.62171524869199,2
2,2,3,1000,12,0.707277739343576,2
1,1,1,1100,1,0.759880513022304,2
2,1,1,1100,2,0.875383859394248,2
1,2,1,1100,3,0.754892435869575,2
2,2,1,1100,4,0.822140921405612,2
1,1,2,1100,5,0.744083828287425,2
2,1,2,1100,6,0.900276527303389,2
1,2,2,1100,7,0.746698017969788,2
2,2,2,1100,8,0.864870929625093,2
1,1,3,1100,9,0.759875503740228,2
2,1,3,1100,10,0.875202397005685,2
1,2,3,1100,11,0.754865907243824,2
2,2,3,1100,12,0.821980640362495,2
1,1,1,1200,1,0.867724942304738,2
2,1,1,1200,2,0.940953888730119,2
1,2,1,1200,3,0.865250880658907,2
2,2,1,1200,4,0.907424214060315,2
1,1,2,1200,5,0.858209442129431,2
2,1,2,1200,6,0.964793047856169,2
1,2,2,1200,7,0.861005717124595,2
2,2,2,1200,8,0.946638948548045,2
1,1,3,1200,9,0.867729305304396,2
2,1,3,1200,10,0.94078740205523,2
1,2,3,1200,11,0.865224914006967,2
2,2,3,1200,12,0.907267118671404,2
1,1,1,1300,1,0.94509017323979,2
2,1,1,1300,2,0.974203279174712,2
1,2,1,1300,3,0.944416586551513,2
2,2,1,1300,4,0.958339749483839,2
1,1,2,1300,5,0.941041014062257,2
2,1,2,1300,6,0.994171678457493,2
1,2,2,1300,7,0.94301162883568,2
